cs,period,n1,c1,percryRNA
0.3,24,390,Type 2 Coupling,1.102965744
0.3,24,12,Type 3 Coupling,1.106017626
0.3,24,2,Type 1 Coupling,1.108948559
0.3,24,12,Type 3 Coupling,1.11178818
0.3,24,12,Type 3 Coupling,1.114530826
0.3,24,12,Type 3 Coupling,1.11717798
0.3,24,18,Type 3 Coupling,1.119706525
0.4,24,15,Type 1 Coupling,1.122105625
0.4,24,147,Type 2 Coupling,1.124375373
0.4,24,149,Type 2 Coupling,1.126499112
0.4,24,126,Type 2 Coupling,1.128446508
0.4,24,35,Type 1 Coupling,1.130219819
0.4,24,3,Type 3 Coupling,1.131855656
0.4,24,3,Type 2 Coupling,1.133413335
0.4,24,57,Type 1 Coupling,1.134922487
0.4,24,77,Type 1 Coupling,1.136424041
0.4,24,145,Type 1 Coupling,1.137947961
0.4,24,110,Type 1 Coupling,1.139480997
0.4,48,70,Type 2 Coupling,1.141014175
0.4,24,177,Type 1 Coupling,1.142540591
0.4,24,225,Type 1 Coupling,1.144063669
0.4,24,256,Type 1 Coupling,1.145560165
0.4,24,390,Type 1 Coupling,1.147018634
0.4,24,390,Type 1 Coupling,1.14844399
0.4,24,390,Type 3 Coupling,1.149830293
0.4,48,256,Type 1 Coupling,1.151194028
0.5,48,390,Type 3 Coupling,1.152586198
0.5,48,272,Type 3 Coupling,1.154020446
0.5,48,100,Type 1 Coupling,1.155488204
0.5,48,100,Type 1 Coupling,1.156953236
0.5,48,50,Type 1 Coupling,1.158388571
0.5,48,50,Type 1 Coupling,1.159753263
0.5,48,25,Type 1 Coupling,1.161048802
0.5,48,50,Type 1 Coupling,1.162253774
0.5,48,62,Type 1 Coupling,1.163327986
0.5,24,16,Type 3 Coupling,1.164234551
0.5,48,63,Type 1 Coupling,1.164945529
0.5,48,42,Type 1 Coupling,1.165489768
0.5,48,42,Type 1 Coupling,1.165900972
0.5,48,121,Type 3 Coupling,1.166203568
0.5,48,170,Type 3 Coupling,1.166405715
0.5,48,194,Type 3 Coupling,1.166490761
0.5,48,128,Type 3 Coupling,1.166443429
0.5,48,228,Type 3 Coupling,1.166314286
0.5,48,390,Type 3 Coupling,1.166148743
0.5,48,390,Type 3 Coupling,1.16597196
0.5,48,390,Type 3 Coupling,1.165754697
0.5,24,81,Type 3 Coupling,1.165449461
0.6,24,88,Type 2 Coupling,1.165018492
0.6,24,18,Type 2 Coupling,1.164434602
0.6,24,20,Type 2 Coupling,1.163676027
0.6,24,2,Type 2 Coupling,1.162753598
0.6,24,2,Type 2 Coupling,1.161644901
0.6,24,2,Type 3 Coupling,1.160360241
0.6,24,18,Type 3 Coupling,1.158930919
0.6,24,72,Type 2 Coupling,1.157361615
0.6,24,20,Type 3 Coupling,1.155647443
0.6,24,18,Type 3 Coupling,1.153800315
0.6,24,55,Type 3 Coupling,1.151854089
0.6,24,3,Type 2 Coupling,1.149852287
0.6,24,84,Type 2 Coupling,1.147810859
0.6,24,7,Type 2 Coupling,1.145674786
0.6,24,4,Type 2 Coupling,1.143376583
0.6,24,12,Type 2 Coupling,1.140886984
0.6,24,52,Type 3 Coupling,1.138208767
0.6,24,2,Type 3 Coupling,1.135363317
0.6,24,42,Type 2 Coupling,1.132386558
0.6,24,3,Type 2 Coupling,1.129349191
0.6,48,390,Type 3 Coupling,1.126281612
0.6,24,338,Type 3 Coupling,1.123169787
0.6,48,211,Type 3 Coupling,1.119977612
0.6,48,237,Type 3 Coupling,1.116684425
0.6,48,168,Type 3 Coupling,1.113286228
0.6,48,95,Type 3 Coupling,1.109800152
0.6,48,58,Type 3 Coupling,1.106224624
0.7,48,29,Type 3 Coupling,1.102542494
0.7,48,21,Type 3 Coupling,1.098801087
0.7,48,22,Type 3 Coupling,1.095038119
0.7,24,81,Type 3 Coupling,1.091246625
0.7,48,20,Type 3 Coupling,1.087413649
0.7,48,24,Type 3 Coupling,1.083493367
0.7,48,25,Type 3 Coupling,1.079482542
0.7,48,157,Type 3 Coupling,1.075391323
0.7,24,101,Type 2 Coupling,1.071187827
0.7,48,184,Type 3 Coupling,1.066861126
0.7,24,81,Type 3 Coupling,1.062472363
0.7,48,59,Type 3 Coupling,1.05806384
0.7,48,249,Type 3 Coupling,1.053629106
0.7,48,114,Type 3 Coupling,1.049191034
0.7,24,107,Type 3 Coupling,1.044784644
0.7,48,171,Type 3 Coupling,1.040405915
0.7,48,390,Type 3 Coupling,1.036036886
0.7,48,52,Type 3 Coupling,1.031672436
0.7,48,13,Type 1 Coupling,1.027298669
0.8,72,13,Type 1 Coupling,1.022917894
0.8,48,8,Type 1 Coupling,1.018551495
0.8,48,8,Type 1 Coupling,1.014214034
0.8,48,8,Type 1 Coupling,1.009924622
0.8,24,13,Type 3 Coupling,1.005665531
0.8,48,8,Type 1 Coupling,1.001400974
0.8,48,8,Type 1 Coupling,0.997136733
0.8,48,8,Type 1 Coupling,0.992867854
0.8,24,13,Type 3 Coupling,0.988572139
0.8,24,135,Type 2 Coupling,0.984253202
0.8,24,96,Type 3 Coupling,0.97991215
0.8,24,24,Type 3 Coupling,0.975564746
0.8,24,24,Type 3 Coupling,0.971228402
0.8,48,35,Type 3 Coupling,0.966909283
0.8,48,29,Type 3 Coupling,0.962581334
0.8,48,21,Type 3 Coupling,0.958238722
0.8,48,24,Type 3 Coupling,0.953892828
0.8,48,30,Type 3 Coupling,0.949572541
0.8,48,28,Type 1 Coupling,0.945311437
0.8,48,28,Type 1 Coupling,0.94109391
0.8,48,25,Type 1 Coupling,0.936930563
0.9,48,27,Type 1 Coupling,0.932817013
0.9,48,29,Type 1 Coupling,0.928723969
0.9,48,22,Type 3 Coupling,0.924662566
0.9,48,20,Type 3 Coupling,0.920659302
0.9,48,24,Type 3 Coupling,0.91670878
0.9,48,25,Type 3 Coupling,0.912812297
0.9,48,23,Type 1 Coupling,0.908968236
0.9,48,21,Type 1 Coupling,0.905171128
0.9,48,21,Type 1 Coupling,0.901423094
0.9,48,24,Type 3 Coupling,0.897751656
0.9,48,20,Type 3 Coupling,0.894193146
0.9,48,19,Type 3 Coupling,0.890745855
0.9,48,19,Type 3 Coupling,0.887405714
0.9,24,0,Type 2 Coupling,0.884183693
0.9,48,12,Type 3 Coupling,0.881071546
0.9,48,13,Type 3 Coupling,0.87807097
0.9,48,27,Type 1 Coupling,0.875183966
0.9,48,26,Type 1 Coupling,0.872402087
0.9,48,26,Type 1 Coupling,0.869716657
0.9,48,25,Type 1 Coupling,0.867124274
0.9,48,7,Type 1 Coupling,0.864621636
0.9,48,16,Type 1 Coupling,0.86221114
0.9,48,13,Type 1 Coupling,0.859910095
0.9,24,1,Type 3 Coupling,0.857747216
0.9,48,13,Type 1 Coupling,0.855725984
0.9,24,390,Type 3 Coupling,0.853826986
0.9,24,68,Type 3 Coupling,0.852014014
0.9,48,31,Type 3 Coupling,0.850282821
0.9,48,23,Type 3 Coupling,0.848630093
0.9,48,24,Type 1 Coupling,0.847063936
0.3,48,17,Type 3 Coupling,0.84556971
0.3,24,46,Type 3 Coupling,0.844153967
0.3,24,39,Type 3 Coupling,0.842841887
0.3,24,39,Type 3 Coupling,0.841660626
0.3,24,32,Type 3 Coupling,0.840610759
0.3,24,112,Type 3 Coupling,0.839670754
0.3,24,359,Type 3 Coupling,0.838824006
